user_id,first_name,assigned_gender,real_gender
278,Nick,male,male
1412,Jim,male,male
1957,Alan,male,male
3173,Michael,male,male
3834,Jon,male,male
5393,Amit,male,male
7653,Ryan,male,male
8597,Tyson,male,male
8925,Jared,male,male
9185,Jason,male,male
11234,Elizabeth,female,female
2136,Chris,mostly_male,male
7179,Pasan,andy,male
9597,Rich,mostly_male,male
11615,Fabi,andy,female
12926,Mat,female,female
12927,Kevin,male,male
14110,Ariel,male,male
14111,Tommy,male,male
14117,Brittney,female,female
14119,Fred,male,male
14266,Justyn,male,male
14623,Tommy,male,male
15145,Miguel,male,male
15947,Ryan,male,male
18019,Ben,male,male
18445,Jeremy,male,male
18563,Michael,male,male
18748,Faye,female,female
20019,Dan,male,male
20156,Jonathan,male,male
20504,Sean,male,male
20509,Rick,male,male
21740,Christopher,male,male
22633,Alan,male,male
22837,Griffin,male,male
23576,Micah,male,male
23952,Yvette,female,female
23999,Luke,male,male
24174,Jake,male,male
24919,Eric,male,male
25082,Daniel,male,male
25153,Marshall,male,male
26143,Aaron,male,male
26170,Andrew,male,male
26205,Rob,male,male
26479,Patrick,male,male
28897,Alan,male,male
33367,Alan,male,male
37687,Tim,male,male
42708,Rick,male,male
54435,Matthew,male,male
63356,Ryan,male,male
63357,Joe,male,male
63358,Billy,male,male
69302,Alan,male,male
69303,Alan,male,male
72345,John,male,male
73798,Alan,male,male
73940,Alan,male,male
73943,Alan,male,male
74463,Alan,male,male
74485,Alan,male,male
75009,Alan,male,male
75400,Robert,male,male
75884,Alan,male,male
75885,Alan,male,male
75886,Alan,male,male
76145,Alan,male,male
76146,Alan,male,male
76685,Alan,male,male
76686,Alan,male,male
77399,Buddy,male,male
79989,Heather,female,female
85954,Travis,male,male
87338,Joe,male,male
90101,Tim,male,male
91454,Shawna,female,female
98052,Eric,male,male
104587,Johnny,male,male
107777,Mike,male,male
107842,Eric,male,male
109369,Jonathan,male,male
112404,Jay,male,male
114660,jonathan,male,male
116236,Kevin,male,male
117486,Brooklyn,female,female
121162,Chelsey,female,female
121450,Jay,male,male
124676,Scott,male,male
125182,Billy,male,male
125991,Alan,male,male
129255,Ryan,male,male
129667,Ryan,male,male
130795,Alex,male,male
146022,Garrett,male,male
188732,Micah,male,male
309772,Kristen,female,female
316592,John,male,male
364082,Milo,male,male
14198,Chris,mostly_male,male
18262,"Jarrett ",andy,male
19643,Guil,andy,male
24267,Chris,mostly_male,male
26160,Paige,andy,female
26397,Robert S,andy,male
27106,Chris,mostly_male,male
27359,Zac,andy,male
39571,Jean-Louis,andy,male
63612,chris,mostly_male,male
72097,chris,mostly_male,male
73627,Etan,andy,male
83600,"Joe ",andy,male
86418,Hampton,andy,male
87340,Kyle,mostly_female,male
111716,John Paul,andy,male
117914,"Chris ",andy,male
128422,Lora L.,andy,female
270942,Nate,female,male
