city,country,lat,lon
Portland,United States,45.5886,-122.7064
Orlando,United States,28.5792,-81.3943
Orlando,United States,28.5383,-81.3792
San Pablo,United States,37.9809,-122.3332
San Francisco,United States,37.7749,-122.4194
Orlando,United States,28.5383,-81.3792
Clearwater,United States,27.8959,-82.672
Orlando,United States,28.5383,-81.3792
Deland,United States,29.0283,-81.3031
Deland,United States,29.0283,-81.3031
Largo,United States,27.8846,-82.8277
Winter Park,United States,28.6079,-81.3055
,United States,38.0,-97.0
Orlando,United States,28.5106,-81.1976
Orlando,United States,28.5383,-81.3792
Orlando,United States,28.4913,-81.4097
Orlando,United States,28.5383,-81.3792
Orlando,United States,28.6185,-81.4336
Orlando,United States,28.5383,-81.3792
Oviedo,United States,28.6766,-81.1991
Atlanta,United States,33.8274,-84.3244
Oviedo,United States,28.6766,-81.1991
Winter Park,United States,28.6024,-81.3589
Miami,United States,25.6586,-80.3568
Miami,United States,25.6586,-80.3568
,United Kingdom,51.5,-0.13
,United States,28.0222,-81.7329
Arden,United States,35.4589,-82.6035
,United Kingdom,51.5,-0.13
Chickamauga,United States,34.7735,-85.3462
,United States,38.0,-97.0
San Francisco,United States,37.7697,-122.3933
Kingston,Canada,44.2274,-76.5134
,Reserved,0.0,0.0
Portland,United States,45.5234,-122.6762
,Reserved,0.0,0.0
Orlando,United States,28.5383,-81.3792
Orlando,United States,28.5383,-81.3792
Orlando,United States,28.5383,-81.3792
Portland,United States,45.5234,-122.6762
Rockville,United States,39.0526,-77.121
Santa Cruz,United States,36.9741,-122.0308
Baltimore,United States,39.2904,-76.6122
,Reserved,0.0,0.0
Chicago,United States,41.85,-87.65
Hamburg,Germany,53.55,10.0
Portland,United States,45.5234,-122.6762
Ashton-under-lyne,United Kingdom,53.4887,-2.0957
Manchester,United Kingdom,53.5,-2.2167
Arden,United States,35.4589,-82.6035
Chattanooga,United States,35.0468,-85.2916
San Francisco,United States,37.7749,-122.4194
Orlando,United States,28.5383,-81.3792
Deland,United States,29.0283,-81.3031
Orlando,United States,28.5383,-81.3792
Oakland Gardens,United States,40.747,-73.7567
Tualatin,United States,45.3653,-122.7579
Portland,United States,45.5234,-122.6762
Orlando,United States,28.5383,-81.3792
Mcminnville,United States,45.1949,-123.2466
Brampton,Canada,43.6885,-79.7616
Riverview,United States,27.8661,-82.3265
Orlando,United States,28.5792,-81.3943
Lewiston,United States,46.1683,-116.9204
Nantucket,United States,41.3152,-70.009
Portland,United States,45.5442,-122.6431
Orlando,United States,28.4915,-81.3331
,United States,38.0,-97.0
Orlando,United States,28.5383,-81.3792
Upper Marlboro,United States,38.8922,-76.7681
Rossville,United States,34.9364,-85.3101
Rossville,United States,34.9364,-85.3101
Portland,United States,45.5442,-122.6431
Sumter,United States,33.8704,-80.4604
Orlando,United States,28.5383,-81.3792
San Francisco,United States,37.7749,-122.4194
Rossville,United States,34.9364,-85.3101
Chicago,United States,41.9474,-87.7037
Beaverton,United States,45.5222,-122.8593
Manchester,United Kingdom,53.3609,-2.2443
Jacksonville,United States,30.2656,-81.778
Portland,United States,45.5774,-122.6208
Portland,United States,45.5442,-122.6431
Portland,United States,45.5774,-122.6208
Portland,United States,45.5774,-122.6208
Portland,United States,45.5774,-122.6208
Portland,United States,45.5774,-122.6208
Brooklyn,United States,40.6702,-73.8944
New York,United States,40.8006,-73.9653
Portland,United States,45.5332,-122.6827
Jackson Heights,United States,40.7517,-73.8832
